country,year,industry,transport,services,households,agriculture,total
Bulgaria,1990,8933.88,2302.071,1597.812,2336.07,789.039,15958.872
Bulgaria,1991,6720.935,1275.702,750.004,2479.321,687.757,11913.719000000001
Bulgaria,1992,5443.309,1381.153,535.428,2626.804,498.05,10484.743999999999
Bulgaria,1993,4718.096,1527.654,670.187,2829.252,409.391,10154.58
Bulgaria,1994,5049.802,1398.673,869.806,2443.498,436.972,10198.750999999998
Bulgaria,1995,5688.596,1502.778,703.694,2447.466,384.913,10727.447
Bulgaria,1996,5663.87,1478.18,771.603,2685.13,418.582,11017.365
Bulgaria,1997,5544.715,1502.073,607.183,2213.172,316.069,10183.212
Bulgaria,1998,4631.881,1897.21,650.454,2424.369,290.693,9894.607
Bulgaria,1999,3520.233,1978.394,680.677,2174.123,308.601,8662.028
Bulgaria,2000,3589.527,1931.53,658.397,2101.596,313.668,8594.717999999999
Bulgaria,2001,3587.938,1986.768,773.157,1975.063,275.658,8598.583999999999
Bulgaria,2002,3370.852,2068.872,747.412,2116.749,279.945,8583.83
Bulgaria,2003,3620.104,2248.317,762.994,2231.753,283.578,9146.746
Bulgaria,2004,3656.949,2421.986,714.995,2084.563,276.457,9154.949999999999
Bulgaria,2005,3649.899,2717.28,840.941,2089.666,303.99,9601.776
Bulgaria,2006,3680.952,2855.793,963.008,2158.268,295.112,9953.133
Bulgaria,2007,3811.018,2767.061,918.493,2061.67,266.592,9824.834
Bulgaria,2008,3453.842,2884.27,982.449,2113.463,187.23,9621.253999999999
Bulgaria,2009,2442.063,2761.501,970.058,2114.011,183.13,8470.762999999999
Bulgaria,2010,2549.961,2694.753,1026.678,2243.338,183.481,8698.211
Bulgaria,2011,2696.44,2759.922,1089.74,2374.281,203.369,9123.752
Bulgaria,2012,2566.576,2914.39,1069.698,2352.559,198.705,9101.928000000002
Bulgaria,2013,2595.527,2620.341,1029.822,2241.036,192.934,8679.66
Bulgaria,2014,2617.523,2916.487,992.002,2164.991,190.326,8881.329
Bulgaria,2015,2719.641,3211.585,1078.658,2192.912,185.584,9388.380000000001
Bulgaria,2016,2655.459,3268.077,1157.041,2252.111,185.09,9517.778
Bulgaria,2017,2757.516,3324.915,1167.156,2318.715,177.288,9745.59
Bulgaria,2018,2736.144,3374.736,1231.216,2229.672,185.275,9757.043
Bulgaria,2019,2678.806,3413.546,1268.032,2162.252,187.459,9710.095000000001
Bulgaria,2020,2646.35,3209.758,1066.112,2382.245,188.093,9492.558
Bulgaria,2021,2823.82,3434.583,1299.855,2403.893,193.783,10155.934
Bulgaria,2022,2703.532,3468.082,1343.364,2137.397,193.306,9845.681
Bulgaria,2023,2540.266,3527.768,1264.733,2046.582,193.553,9572.902
Bulgaria,2024,2594.815,3748.692,1320.059,1961.546,189.528,9814.64
Croatia,1990,2190.058,1239.605,492.07,1971.244,437.811,6330.788
Croatia,1991,1660.83,992.339,408.105,2272.567,283.244,5617.085
Croatia,1992,1333.198,928.719,341.761,1974.941,281.331,4859.950000000001
Croatia,1993,1269.435,968.916,413.576,2058.863,275.716,4986.506
Croatia,1994,1318.544,1031.896,444.693,1978.224,253.486,5026.843
Croatia,1995,1203.635,1095.997,482.957,2166.831,253.966,5203.386
Croatia,1996,1282.935,1224.574,505.369,2426.658,261.108,5700.644
Croatia,1997,1415.585,1295.467,508.473,2363.492,262.304,5845.321
Croatia,1998,1405.95,1349.721,521.763,2368.9,277.709,5924.043000000001
Croatia,1999,1347.242,1445.388,531.877,2484.067,266.517,6075.091
Croatia,2000,1335.338,1477.566,520.468,2294.89,265.491,5893.753
Croatia,2001,1400.676,1492.788,594.086,2469.763,246.456,6203.769
Croatia,2002,1353.052,1593.842,626.074,2483.313,226.044,6282.325000000001
Croatia,2003,1403.685,1722.975,666.293,2706.366,229.447,6728.766
Croatia,2004,1523.582,1766.138,690.263,2701.991,212.425,6894.399
Croatia,2005,1535.997,1833.136,721.259,2826.121,217.513,7134.026
Croatia,2006,1600.307,1950.114,715.28,2658.936,219.217,7143.854
Croatia,2007,1623.332,2096.104,707.571,2530.131,213.974,7171.111999999999
Croatia,2008,1628.475,2077.132,754.36,2589.92,227.895,7277.782
Croatia,2009,1371.285,2068.82,758.463,2645.608,223.626,7067.802000000001
Croatia,2010,1329.126,1980.608,797.584,2770.882,219.994,7098.194
Croatia,2011,1246.111,1942.325,786.568,2643.5,224.35,6842.854
Croatia,2012,1099.202,1902.891,758.306,2561.304,207.344,6529.047
Croatia,2013,1075.141,1924.636,740.881,2493.453,204.149,6438.26
Croatia,2014,1066.433,1900.924,693.717,2228.532,212.386,6101.992
Croatia,2015,1056.141,1997.802,763.679,2429.916,209.893,6457.4310000000005
Croatia,2016,1057.427,2045.099,780.992,2409.158,212.896,6505.571999999999
Croatia,2017,1148.118,2196.674,818.061,2392.72,211.762,6767.335
Croatia,2018,1161.853,2146.863,832.935,2298.895,218.051,6658.597000000001
Croatia,2019,1172.434,2235.149,835.886,2238.586,220.99,6703.044999999998
Croatia,2020,1171.272,1968.591,757.788,2277.143,233.682,6408.476
Croatia,2021,1191.359,2147.878,848.096,2441.87,233.858,6863.061000000001
Croatia,2022,1128.479,2234.877,808.947,2286.359,238.272,6696.934
Croatia,2023,1173.888,2488.585,780.95,2224.526,234.628,6902.576999999999
Croatia,2024,1140.414,2747.568,786.6,2212.031,244.59,7131.203
Czechia,1990,15927.153,2570.047,3029.948,7343.44,1534.588,30405.176
Czechia,1991,13463.688,2247.069,3215.662,7027.503,1479.347,27433.269
Czechia,1992,14643.152,2878.937,1887.977,6493.784,1162.592,27066.442
Czechia,1993,13528.518,2883.438,1710.377,6392.034,1108.702,25623.069
Czechia,1994,11584.194,3062.384,1641.413,6410.515,1103.942,23802.448
Czechia,1995,11442.857,2646.965,2416.379,6584.005,1232.374,24322.58
Czechia,1996,11228.686,3588.923,2309.82,7341.635,749.076,25218.14
Czechia,1997,11086.553,3692.714,2345.324,6989.25,581.889,24695.73
Czechia,1998,10225.206,3785.498,2646.077,6575.111,547.276,23779.168
Czechia,1999,8573.606,4144.646,2927.003,6529.019,652.309,22826.583000000002
Czechia,2000,9195.503,4206.928,2971.701,6437.123,661.234,23472.489
Czechia,2001,8912.446,4417.017,3215.311,7007.797,606.166,24158.737
Czechia,2002,8622.782,4613.834,3029.362,6719.303,570.274,23555.555
Czechia,2003,8509.412,5209.184,3429.547,6933.364,562.704,24644.211
Czechia,2004,8796.781,5371.418,3488.602,6828.858,556.961,25042.62
Czechia,2005,8685.369,5747.453,3137.474,6665.539,546.793,24782.628000000004
Czechia,2006,8627.321,5963.29,3095.354,6786.785,560.299,25033.049
Czechia,2007,8303.898,6290.504,2972.526,6414.496,520.599,24502.022999999997
Czechia,2008,7946.523,6325.031,3157.361,6512.139,520.352,24461.406
Czechia,2009,7355.363,6220.839,2977.074,6656.571,513.392,23723.239
Czechia,2010,6888.698,5916.11,3249.062,7440.711,546.022,24040.603000000003
Czechia,2011,6771.988,5935.592,3132.559,6863.723,547.912,23251.774
Czechia,2012,6726.299,5788.889,3039.527,7115.57,563.455,23233.74
Czechia,2013,6426.744,5738.681,3010.066,7269.133,609.855,23054.478999999996
Czechia,2014,6331.755,5948.768,2922.578,6554.173,615.141,22372.415
Czechia,2015,6477.94,6195.22,2977.367,6769.51,606.831,23026.868
Czechia,2016,6412.09,6417.093,3091.444,7090.172,640.619,23651.417999999998
Czechia,2017,6734.121,6617.264,3180.772,7202.965,639.487,24374.609
Czechia,2018,6699.106,6659.891,3127.767,7042.708,620.358,24149.829999999998
Czechia,2019,6618.619,6778.778,3191.895,6963.387,635.277,24187.956
Czechia,2020,6567.069,6377.501,2987.13,7148.052,637.872,23717.624
Czechia,2021,7013.271,6749.252,2966.844,7864.166,642.03,25235.563000000002
Czechia,2022,6564.625,6888.929,2889.892,7157.766,613.167,24114.379
Czechia,2023,5966.333,7027.815,2693.4,6416.158,601.905,22705.610999999997
Czechia,2024,5671.87,7313.13,2746.66,6229.411,608.383,22569.454
Estonia,1990,2356.667,832.38,287.527,1006.216,678.072,5160.862
Estonia,1991,2434.963,756.253,270.713,885.008,706.702,5053.639000000001
