country,year,industry,transport,services,households,agriculture,total,year_norm,industry_lag1,industry_lag2,transport_lag1,transport_lag2,services_lag1,services_lag2,households_lag1,households_lag2,agriculture_lag1,agriculture_lag2,total_lag1,total_lag2,industry_yoy,transport_yoy,services_yoy,households_yoy,agriculture_yoy,total_yoy,industry_share,transport_share,services_share,households_share,agriculture_share,industry_rm3,transport_rm3,services_rm3,households_rm3,agriculture_rm3,total_rm3
Bulgaria,1992,5443.309,1381.153,535.428,2626.804,498.05,10484.743999999999,0.058823529411764705,6720.935,8933.88,1275.702,2302.071,750.004,1597.812,2479.321,2336.07,687.757,789.039,11913.719000000001,15958.872,-0.19009646723260976,0.08266115440753397,-0.2860998074676935,0.05948523809543027,-0.2758343426530009,-0.11994365487384773,0.5191647025430474,0.13172977804703673,0.05106734127223326,0.2505358261489265,0.04750235198875624,7032.708,1652.975333333333,961.0813333333332,2480.7316666666666,658.282,12785.778333333334
Bulgaria,1993,4718.096,1527.654,670.187,2829.252,409.391,10154.58,0.08823529411764706,5443.309,6720.935,1381.153,1275.702,535.428,750.004,2626.804,2479.321,498.05,687.757,10484.743999999999,11913.719000000001,-0.1332301730436396,0.10607152140276987,0.25168463360152993,0.0770700821226098,-0.17801224776628854,-0.031489943865105285,0.4646273898083426,0.15043990002540725,0.0659984952602668,0.2786183180397417,0.04031589686624164,5627.446666666667,1394.8363333333334,651.873,2645.125666666667,531.7326666666667,10851.014333333333
Bulgaria,1994,5049.802,1398.673,869.806,2443.498,436.972,10198.750999999998,0.11764705882352941,4718.096,5443.309,1527.654,1381.153,670.187,535.428,2829.252,2626.804,409.391,498.05,10154.58,10484.743999999999,0.07030505525957942,-0.08443076770001579,0.2978556731180999,-0.13634487136529372,0.06737080199613565,0.00434985986618841,0.4951392577385212,0.13714159704457932,0.08528554133736574,0.2395879652322133,0.04284563864732064,5070.4023333333325,1435.8266666666666,691.8070000000001,2633.1846666666665,448.1376666666667,10279.358333333332
Bulgaria,1995,5688.596,1502.778,703.694,2447.466,384.913,10727.447,0.14705882352941177,5049.802,4718.096,1398.673,1527.654,869.806,670.187,2443.498,2829.252,436.972,409.391,10198.750999999998,10154.58,0.12649882114189825,0.07443126449141446,-0.19097591876809317,0.0016239014723973266,-0.11913577986690216,0.051839288948225315,0.5302842325858146,0.14008719875288128,0.0655975275384721,0.22814990370029326,0.03588113742253865,5152.164666666667,1476.368333333333,747.8956666666667,2573.4053333333336,410.42533333333336,10360.259333333333
Bulgaria,1996,5663.87,1478.18,771.603,2685.13,418.582,11017.365,0.17647058823529413,5688.596,5049.802,1502.778,1398.673,703.694,869.806,2447.466,2443.498,384.913,436.972,10727.447,10198.750999999998,-0.004346590969019348,-0.0163683524778776,0.09650359389166319,0.09710614978921073,0.08747171438740708,0.02702581518230751,0.5140857183183093,0.13416819720504858,0.07003516721103457,0.24371798519882024,0.0379929320667873,5467.422666666666,1459.8770000000002,781.701,2525.364666666667,413.48900000000003,10647.854333333331
Bulgaria,1997,5544.715,1502.073,607.183,2213.172,316.069,10183.212,0.20588235294117646,5663.87,5688.596,1478.18,1502.778,771.603,703.694,2685.13,2447.466,418.582,384.913,11017.365,10727.447,-0.021037735682492675,0.01616379601942941,-0.2130888552792044,-0.1757672812861948,-0.24490541877099348,-0.07571256829559525,0.5444956856441759,0.14750483442748713,0.05962588228547142,0.21733535548508665,0.031038242157778905,5632.393666666667,1494.3436666666669,694.16,2448.5893333333333,373.18800000000005,10642.674666666666
Bulgaria,1998,4631.881,1897.21,650.454,2424.369,290.693,9894.607,0.23529411764705882,5544.715,5663.87,1502.073,1478.18,607.183,771.603,2213.172,2685.13,316.069,418.582,10183.212,11017.365,-0.16463136518288135,0.2630611162040726,0.07126517046755265,0.09542728716972748,-0.08028626660634242,-0.028341254213307132,0.4681217758320265,0.19174182461213468,0.06573823497992391,0.2450192311832092,0.029378933392705742,5280.155333333333,1625.821,676.4133333333333,2440.8903333333333,341.78133333333335,10365.061333333333
Bulgaria,1999,3520.233,1978.394,680.677,2174.123,308.601,8662.028,0.2647058823529412,4631.881,5544.715,1897.21,1502.073,650.454,607.183,2424.369,2213.172,290.693,316.069,9894.607,10183.212,-0.23999925732116179,0.04279125663474259,0.046464469432119904,-0.10322108556906973,0.061604510600530515,-0.12457078891561835,0.4063982476159163,0.22839847666158547,0.07858171319695573,0.2509946862328314,0.03562687629271113,4565.609666666667,1792.559,646.1046666666666,2270.554666666667,305.12100000000004,9579.949
Bulgaria,2000,3589.527,1931.53,658.397,2101.596,313.668,8594.717999999999,0.29411764705882354,3520.233,4631.881,1978.394,1897.21,680.677,650.454,2174.123,2424.369,308.601,290.693,8662.028,9894.607,0.019684492475356086,-0.02368790038789037,-0.032732118170585967,-0.03335919816864086,0.01641925982093384,-0.0077706975779807674,0.41764337119612305,0.22473454044681865,0.07660484032169528,0.24452180979061794,0.03649543824474521,3913.880333333333,1935.7113333333334,663.176,2233.3626666666664,304.3206666666667,9050.451000000001
Bulgaria,2001,3587.938,1986.768,773.157,1975.063,275.658,8598.583999999999,0.3235294117647059,3589.527,3520.233,1931.53,1978.394,658.397,680.677,2101.596,2174.123,313.668,308.601,8594.717999999999,8662.028,-0.0004426767092153838,0.028598054392114047,0.1743021307812762,-0.060208051404741836,-0.12117908106660547,0.0004498111514537051,0.41727079714520443,0.23105757878273914,0.08991678164683861,0.22969630813631645,0.03205853428890153,3565.8993333333333,1965.564,704.0770000000001,2083.594,299.309,8618.44333333333
Bulgaria,2002,3370.852,2068.872,747.412,2116.749,279.945,8583.83,0.35294117647058826,3587.938,3589.527,1986.768,1931.53,773.157,658.397,1975.063,2101.596,275.658,313.668,8598.583999999999,8594.717999999999,-0.06050438998667207,0.04132540890531744,-0.033298540917304,0.07173745850132351,0.015551879502862187,-0.0017158639143374232,0.3926978982575377,0.2410196846862065,0.08707208786753699,0.2465972648572956,0.03261306433142315,3516.1056666666664,1995.7233333333334,726.322,2064.469333333333,289.757,8592.377333333332
Bulgaria,2003,3620.104,2248.317,762.994,2231.753,283.578,9146.746,0.38235294117647056,3370.852,3587.938,2068.872,1986.768,747.412,773.157,2116.749,1975.063,279.945,275.658,8583.83,8598.583999999999,0.07394332352770161,0.08673567045230457,0.020847939289173834,0.05433048509766647,0.012977549161442337,0.06557865195373158,0.39578053222424675,0.2458051202034035,0.08341698785557182,0.24399420296573232,0.031003156751045674,3526.2980000000002,2101.319,761.1876666666667,2107.855,279.72700000000003,8776.386666666665
